x	y	z	k	sx	sy	sz	sk	fixed	population
6	6	38	146	1	1	1	1	0	2
6	4	26	102	1	1	1	1	0	2
6	5	37	318	1	1	1	1	0	4
6	2	18	146	1	0	1	1	0	2
6	2	22	258	1	0	1	1	0	2
2	0	-1	3	0	-1	-1	1	0	64
2	1	0	3	0	-1	-1	1	0	32
2	2	1	3	0	0	-1	1	0	72
2	0	-2	6	0	-1	0	1	0	80
2	0	2	6	0	-1	0	1	0	80
2	1	2	3	0	-1	0	1	0	32
2	0	1	3	0	-1	-1	1	0	64
2	4	3	3	0	1	1	1	0	56
2	3	2	3	0	1	0	1	0	48
2	4	2	6	0	1	0	1	0	72
2	4	1	11	0	1	-1	1	0	64
2	2	0	6	0	0	-1	1	0	80
2	2	-1	11	0	0	-1	1	0	80
2	1	-1	6	0	-1	-1	1	0	16
2	0	-4	18	0	-1	1	1	0	16
2	0	4	18	0	-1	1	1	0	16
2	1	3	6	0	-1	1	1	0	16
2	3	1	6	0	1	-1	1	0	16
2	4	0	18	0	1	-1	1	0	16
2	4	-2	38	0	1	0	1	0	24
2	2	-2	18	0	0	0	1	0	40
2	2	-4	38	0	0	1	1	0	16
2	0	-3	11	0	-1	1	1	0	32
2	1	-2	11	0	-1	0	1	0	32
2	0	-6	38	0	-1	1	1	0	16
2	0	6	38	0	-1	1	1	0	16
2	1	4	11	0	-1	1	1	0	32
2	0	3	11	0	-1	1	1	0	32
2	3	0	11	0	1	-1	1	0	16
2	4	-5	83	0	1	1	1	0	8
2	2	-7	83	0	0	1	1	0	8
4	0	-2	18	1	-1	0	1	0	48
4	1	0	15	1	-1	-1	1	0	32
4	0	-1	15	1	-1	-1	1	0	64
4	2	1	11	1	0	-1	1	0	64
4	0	-5	39	1	-1	1	1	0	32
4	0	5	39	1	-1	1	1	0	32
4	1	4	15	1	-1	1	1	0	32
4	0	1	15	1	-1	-1	1	0	64
4	0	2	18	1	-1	0	1	0	48
4	2	3	3	1	0	1	1	0	56
4	1	2	11	1	-1	0	1	0	32
4	2	2	6	1	0	0	1	0	72
4	4	6	-30	1	1	1	1	0	16
4	3	4	-9	1	1	1	1	0	16
4	4	3	-9	1	1	1	1	0	32
4	4	5	-25	1	1	1	1	0	16
4	3	2	3	1	1	0	1	0	32
4	4	2	2	1	1	0	0	2	24
4	4	1	15	1	1	-1	1	0	48
4	2	0	18	1	0	-1	1	0	16
4	2	-2	38	1	0	0	1	0	24
0	2	-1	3	-1	0	-1	1	0	64
0	2	-2	6	-1	0	0	1	0	80
0	2	-3	11	-1	0	1	1	0	32
0	4	-2	18	-1	1	0	1	0	48
0	0	-2	2	-1	-1	0	0	2	32
0	3	0	7	-1	1	-1	1	0	64
0	4	-1	15	-1	1	-1	1	0	64
0	4	1	15	-1	1	-1	1	0	64
0	2	1	3	-1	0	-1	1	0	64
0	1	-2	3	-1	-1	0	1	0	32
0	0	-3	7	-1	-1	1	1	0	80
0	2	2	6	-1	0	0	1	0	80
0	3	2	11	-1	1	0	1	0	16
0	4	2	18	-1	1	0	1	0	48
0	4	5	39	-1	1	1	1	0	32
0	2	4	18	-1	0	1	1	0	16
0	2	6	38	-1	0	1	1	0	16
0	0	3	7	-1	-1	1	1	0	80
0	1	2	3	-1	-1	0	1	0	32
0	0	2	2	-1	-1	0	0	2	32
0	1	4	15	-1	-1	1	1	0	16
0	2	5	27	-1	0	1	1	0	32
0	0	7	47	-1	-1	1	1	0	16
0	0	6	34	-1	-1	1	1	0	16
0	2	3	11	-1	0	1	1	0	32
0	3	-2	11	-1	1	0	1	0	16
0	2	-5	27	-1	0	1	1	0	32
0	4	-5	39	-1	1	1	1	0	32
0	1	-4	15	-1	-1	1	1	0	16
0	0	-6	34	-1	-1	1	1	0	16
0	2	-4	18	-1	0	1	1	0	16
0	0	-7	47	-1	-1	1	1	0	16
0	2	-6	38	-1	0	1	1	0	16
3	0	0	7	1	-1	-1	1	0	64
3	1	1	6	1	-1	-1	1	0	16
3	2	2	3	1	0	0	1	0	48
3	0	-2	11	1	-1	0	1	0	16
3	0	2	11	1	-1	0	1	0	16
3	1	2	6	1	-1	0	1	0	16
3	2	1	6	1	0	-1	1	0	16
3	2	0	11	1	0	-1	1	0	16
3	4	4	-9	1	1	1	1	0	16
3	3	3	-2	1	1	1	0	0	8
3	4	2	3	1	1	0	1	0	32
3	3	2	2	1	1	0	0	2	8
4	4	-2	66	1	1	0	1	0	8
4	2	-5	83	1	0	1	1	0	8
2	0	-5	27	0	-1	1	1	0	32
2	0	5	27	0	-1	1	1	0	32
1	2	0	3	-1	0	-1	1	0	32
1	2	-1	6	-1	0	-1	1	0	16
1	2	-2	11	-1	0	0	1	0	32
1	4	0	15	-1	1	-1	1	0	32
1	0	-2	3	-1	-1	0	1	0	32
1	3	1	6	-1	1	-1	1	0	16
1	4	2	11	-1	1	0	1	0	32
1	2	2	3	-1	0	0	1	0	32
1	1	-1	2	-1	-1	-1	0	2	8
1	3	2	6	-1	1	0	1	0	16
1	4	4	15	-1	1	1	1	0	32
1	2	3	6	-1	0	1	1	0	16
1	2	4	11	-1	0	1	1	0	32
1	0	2	3	-1	-1	0	1	0	32
1	1	2	2	-1	-1	0	0	2	8
1	1	3	6	-1	-1	1	1	0	8
1	0	4	15	-1	-1	1	1	0	16
1	1	-2	6	-1	-1	0	1	0	8
1	0	-4	15	-1	-1	1	1	0	16
