owner	kind	row	column	value	lineage
product	connection_u	3	5	0+0u	1711186366924054020
product	basis	4	-	195454	1711186366924054020
product	polarization	4	-	0	1711186366924054020
product	cup	4	0	0	1711186366924054020
product	connection_t	4	0	0+0t	1711186366924054020
product	connection_u	4	0	0+0u	1711186366924054020
product	cup	4	1	0	1711186366924054020
product	connection_t	4	1	0+0t	1711186366924054020
product	connection_u	4	1	0+0u	1711186366924054020
product	cup	4	2	0	1711186366924054020
product	connection_t	4	2	-1+0t	1711186366924054020
product	connection_u	4	2	0+0u	1711186366924054020
product	cup	4	3	1	1711186366924054020
product	connection_t	4	3	0+0t	1711186366924054020
product	connection_u	4	3	0+0u	1711186366924054020
product	cup	4	4	0	1711186366924054020
product	connection_t	4	4	0+-1t	1711186366924054020
product	connection_u	4	4	0+1u	1711186366924054020
product	cup	4	5	0	1711186366924054020
product	connection_t	4	5	0+0t	1711186366924054020
product	connection_u	4	5	0+1u	1711186366924054020
product	basis	5	-	195455	1711186366924054020
product	polarization	5	-	0	1711186366924054020
product	cup	5	0	0	1711186366924054020
product	connection_t	5	0	0+0t	1711186366924054020
product	connection_u	5	0	0+0u	1711186366924054020
product	cup	5	1	0	1711186366924054020
product	connection_t	5	1	0+0t	1711186366924054020
product	connection_u	5	1	0+0u	1711186366924054020
product	cup	5	2	-1	1711186366924054020
product	connection_t	5	2	0+0t	1711186366924054020
product	connection_u	5	2	0+0u	1711186366924054020
product	cup	5	3	0	1711186366924054020
product	connection_t	5	3	-1+0t	1711186366924054020
product	connection_u	5	3	0+0u	1711186366924054020
product	cup	5	4	0	1711186366924054020
product	connection_t	5	4	0+0t	1711186366924054020
product	connection_u	5	4	-1+0u	1711186366924054020
product	cup	5	5	0	1711186366924054020
product	connection_t	5	5	0+-1t	1711186366924054020
product	connection_u	5	5	0+-1u	1711186366924054020
product	filtration_f1	0	-	0	1711186366924054020
product	filtration_f1	1	-	1	1711186366924054020
product	filtration_f1	2	-	2	1711186366924054020
product	filtration_f1	3	-	3	1711186366924054020
product	filtration_f1	4	-	4	1711186366924054020
product	filtration_f2	0	-	2	1711186366924054020
locus	graph	0	-	1	1711186366924054052
locus	primitive	0	-	0	1711186366924054052
locus	graph	1	-	1	1711186366924054052
locus	primitive	1	-	0	1711186366924054052
locus	graph	2	-	0	1711186366924054052
locus	primitive	2	-	0	1711186366924054052
locus	graph	3	-	1	1711186366924054052
locus	primitive	3	-	1	1711186366924054052
locus	graph	4	-	-1	1711186366924054052
locus	primitive	4	-	-1	1711186366924054052
locus	graph	5	-	0	1711186366924054052
locus	primitive	5	-	0	1711186366924054052
locus	jet	0	1	-1:1:	1711186366924054052
translation_0	root	0	-	0	1711186366924053989
translation_0	other_first	0	-	0	1711186366924053989
translation_0	other_second	0	-	0	1711186366924053989
translation_0	kappa	0	-	0	1711186366924053989
translation_0	x_numerator_0	0	-	0	1711186366924053989
translation_0	x_numerator_1	0	-	1	1711186366924053989
translation_0	x_denominator_0	0	-	1	1711186366924053989
translation_0	x_denominator_1	0	-	0	1711186366924053989
translation_0	y_scale	0	-	1	1711186366924053989
translation_0	graph_class	0	-	1	1711186366924053989
translation_0	graph_class	1	-	1	1711186366924053989
translation_0	graph_class	2	-	0	1711186366924053989
translation_0	graph_class	3	-	1	1711186366924053989
translation_0	graph_class	4	-	-1	1711186366924053989
translation_0	graph_class	5	-	0	1711186366924053989
translation_0	certificates	0	0	1:1:1:1:1	1711186366924053989
translation_1	root	0	-	0	1711186366924053990
translation_1	other_first	0	-	1	1711186366924053990
translation_1	other_second	0	-	0	1711186366924053990
translation_1	other_second	1	-	1	1711186366924053990
translation_1	kappa	0	-	0	1711186366924053990
translation_1	kappa	1	-	1	1711186366924053990
translation_1	x_numerator_0	0	-	0	1711186366924053990
translation_1	x_numerator_0	1	-	1	1711186366924053990
translation_1	x_numerator_1	0	-	0	1711186366924053990
translation_1	x_denominator_0	0	-	0	1711186366924053990
translation_1	x_denominator_1	0	-	1	1711186366924053990
translation_1	y_scale	0	-	0	1711186366924053990
translation_1	y_scale	1	-	-1	1711186366924053990
translation_1	graph_class	0	-	1	1711186366924053990
translation_1	graph_class	1	-	1	1711186366924053990
translation_1	graph_class	2	-	0	1711186366924053990
translation_1	graph_class	3	-	1	1711186366924053990
translation_1	graph_class	4	-	-1	1711186366924053990
translation_1	graph_class	5	-	0	1711186366924053990
translation_1	certificates	0	0	1:1:1:1:1	1711186366924053990
translation_2	root	0	-	1	1711186366924053991
