kind	head	detail	form	witness
transport	Rat.padicValuation	symmetry 0 substitution 0 arity 0	Rat.padicValuation x0 x0 = exp x1	
transport	Rat.padicValuation	symmetry 0 substitution 0 arity 0	Rat.padicValuation x0 x1 = Int.padicValuation x0 x2	
transport	Real.sqrt	symmetry 0 substitution 0 arity 0	Real.sqrt  = o x0 x1	
transport	RingHom.ker	symmetry 0 substitution 0 arity 0	RingHom.ker x0 = Ideal.span x1	
transport	RingHom.ker	symmetry 0 substitution 0 arity 0	RingHom.ker x0 = maximalIdeal x1 x2	
transport	Submodule.span	symmetry 0 substitution 0 arity 0	Submodule.span x0 x1 = mixedEmbedding.integerLattice x2	
transport	Units.complexEmbedding	symmetry 0 substitution 0 arity 0	Units.complexEmbedding x0 x1 = φ x1	
transport	Valued.v	symmetry 0 substitution 1 arity 0	Valued.v x0 = Valued.v x1	
transport	ZMod.cast	symmetry 0 substitution 0 arity 0	ZMod.cast x0 = toZModPow x1 x2	
transport	a	symmetry 0 substitution 0 arity 0	a  = 1 	
transport	a	symmetry 0 substitution 0 arity 0	a  = b 	
transport	a.natDegree	symmetry 0 substitution 0 arity 0	a.natDegree  = 0 	
transport	absNorm	symmetry 0 substitution 0 arity 0	absNorm x0 = p 	
transport	abscissaOfAbsConv	symmetry 0 substitution 3 arity 0	abscissaOfAbsConv x0 = 1 	
transport	abscissaOfAbsConv	symmetry 0 substitution 3 arity 0	abscissaOfAbsConv x0 = abscissaOfAbsConv x1	
transport	addValuationDef	symmetry 0 substitution 0 arity 0	addValuationDef x0 = 0 	
transport	adicAbv	symmetry 0 substitution 0 arity 0	adicAbv x0 x1 = toNNReal x2 x3	
transport	adjoin	symmetry 0 substitution 2 arity 0	adjoin x0 x1 = adjoin x0 x2	
transport	aeval	symmetry 0 substitution 0 arity 0	aeval x0 x1 = 0 	
transport	algebraMap	symmetry 0 substitution 1 arity 0	algebraMap x0 x1 x2 = Algebra.norm x1 x3	
transport	algebraMap	symmetry 0 substitution 1 arity 0	algebraMap x0 x1 x2 = Ideal.Quotient.mk x3 x4	
transport	algebraMap	symmetry 0 substitution 1 arity 0	algebraMap x0 x1 x2 = algebraMap x3 x1 x4	
transport	algebraMap	symmetry 0 substitution 1 arity 0	algebraMap x0 x1 x2 = x 	
transport	algebraMap	symmetry 0 substitution 1 arity 0	algebraMap x0 x1 x2 x1 x3 = x 	
transport	algebraMap	symmetry 0 substitution 1 arity 0	algebraMap x0 x1 x2 x3 = x 	
transport	b	symmetry 0 substitution 0 arity 0	b  = c 	
transport	basisMatrix	symmetry 0 substitution 0 arity 0	basisMatrix x0 = Algebra.embeddingsMatrixReindex x1 x2 x3 x4	
transport	basisOfFractionalIdeal	symmetry 0 substitution 0 arity 0	basisOfFractionalIdeal x0 x1 x2 = fractionalIdealBasis x0 x3 x2	
transport	bernoulli	symmetry 0 substitution 0 arity 0	bernoulli x0 = 0 	
transport	bernoulli	symmetry 0 substitution 0 arity 0	bernoulli x0 = 1 	
transport	bernoulliFourierCoeff	symmetry 0 substitution 0 arity 0	bernoulliFourierCoeff x0 x1 = 0 	
transport	bernoulliFun	symmetry 0 substitution 1 arity 0	bernoulliFun x0 x1 = 1 	
transport	bernoulliFun	symmetry 0 substitution 1 arity 0	bernoulliFun x0 x1 = bernoulli x0	
transport	bernoulliFun	symmetry 0 substitution 1 arity 0	bernoulliFun x0 x1 = bernoulliFun x0 x2	
transport	c	symmetry 0 substitution 0 arity 0	c  = modularCyclotomicCharacter x0 x1 x2	
transport	c	symmetry 0 substitution 0 arity 0	c  = χ₀ x0 x1	
transport	card	symmetry 0 substitution 0 arity 0	card x0 = nrRealPlaces x1	
transport	changeLevel	symmetry 0 substitution 1 arity 0	changeLevel x0 x1 = 1 	
transport	changeLevel	symmetry 0 substitution 1 arity 0	changeLevel x0 x1 = MulChar.ofUnitHom x2	
