species	head	statement	verdict	organ
organ-predicted:symmetric-pair-sum-3	swap	swap x0 x1 x2 = swap x1 x0 x2	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	swap	swap x0 x1 x2 = swap x1 x2 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	swap	swap x0 x1 x2 = swap x2 x0 x1	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	swap	swap x0 x1 x2 = swap x2 x1 x0	single-witness	symmetric-pair-sum-3
organ-predicted:symmetric-pair-sum-3	swapCore	swapCore x0 x1 x2 = swapCore x0 x2 x1	conflicted	corner-cosine
organ-predicted:symmetric-pair-sum-3	swapCore	swapCore x0 x1 x2 = swapCore x1 x2 x0	conflicted	corner-cosine
organ-predicted:symmetric-pair-sum-3	swapCore	swapCore x0 x1 x2 = swapCore x2 x0 x1	conflicted	corner-cosine
organ-predicted:symmetric-pair-sum-3	swapCore	swapCore x0 x1 x2 = swapCore x2 x1 x0	conflicted	corner-cosine
composed	.single	.single ~> A   via C   [.single x0 x1 = C x1 then C x0 = A x0]	unreached	
composed	.single	.single ~> X   via C   [.single x0 x1 = C x1 then C x0 x1 = X ]	unreached	
composed	.single	.single ~> algebraMap   via C   [.single x0 x1 = C x1 then C  = algebraMap x0 x0 x1]	unreached	
composed	A.adjugateᴴ	A.adjugateᴴ ~> reindex   via adjugate   [A.adjugateᴴ  = adjugate x0 then adjugate x0 = reindex x1 x1 x2]	unreached	
composed	A.cRank.toNat	A.cRank.toNat ~> Fintype.card   via A.rank   [A.cRank.toNat  = A.rank  then A.rank  = Fintype.card x0]	unreached	
composed	A.cRank.toNat	A.cRank.toNat ~> finrank   via A.rank   [A.cRank.toNat  = A.rank  then A.rank  = finrank x0 x1]	unreached	
composed	A.cRank.toNat	A.cRank.toNat ~> Fintype.card   via Module.finrank   [A.cRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = Fintype.card x2]	unreached	
composed	A.cRank.toNat	A.cRank.toNat ~> L.fixingSubgroup.index   via Module.finrank   [A.cRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = L.fixingSubgroup.index ]	unreached	
composed	A.cRank.toNat	A.cRank.toNat ~> Nat.card   via Module.finrank   [A.cRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = Nat.card x2]	unreached	
composed	A.cRank.toNat	A.cRank.toNat ~> f.natDegree   via Module.finrank   [A.cRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = f.natDegree ]	unreached	
composed	A.cRank.toNat	A.cRank.toNat ~> k.totient   via Module.finrank   [A.cRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = k.totient ]	unreached	
composed	A.cRank.toNat	A.cRank.toNat ~> pb.dim   via Module.finrank   [A.cRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = pb.dim ]	unreached	
composed	A.cRank.toNat	A.cRank.toNat ~> rank   via Module.finrank   [A.cRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = rank x2]	unreached	
composed	A.col	A.col ~> Pi.single   via of.symm   [A.col  = of.symm x0 then of.symm x0 = Pi.single x1 x2]	unreached	
composed	A.cramer	A.cramer ~> .ofMul   via Pi.single   [A.cramer x0 = Pi.single x1 x2 then Pi.single x0 x1 x2 x3 = .ofMul x4]	unreached	
composed	A.cramer	A.cramer ~> star   via Pi.single   [A.cramer x0 = Pi.single x1 x2 then Pi.single x0 x1 = star x2]	unreached	
composed	A.eRank.toNat	A.eRank.toNat ~> Fintype.card   via A.rank   [A.eRank.toNat  = A.rank  then A.rank  = Fintype.card x0]	unreached	
composed	A.eRank.toNat	A.eRank.toNat ~> finrank   via A.rank   [A.eRank.toNat  = A.rank  then A.rank  = finrank x0 x1]	unreached	
composed	A.eRank.toNat	A.eRank.toNat ~> Fintype.card   via Module.finrank   [A.eRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = Fintype.card x2]	unreached	
composed	A.eRank.toNat	A.eRank.toNat ~> L.fixingSubgroup.index   via Module.finrank   [A.eRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = L.fixingSubgroup.index ]	unreached	
composed	A.eRank.toNat	A.eRank.toNat ~> Nat.card   via Module.finrank   [A.eRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = Nat.card x2]	unreached	
composed	A.eRank.toNat	A.eRank.toNat ~> f.natDegree   via Module.finrank   [A.eRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = f.natDegree ]	unreached	
composed	A.eRank.toNat	A.eRank.toNat ~> k.totient   via Module.finrank   [A.eRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = k.totient ]	unreached	
composed	A.eRank.toNat	A.eRank.toNat ~> pb.dim   via Module.finrank   [A.eRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = pb.dim ]	unreached	
composed	A.eRank.toNat	A.eRank.toNat ~> rank   via Module.finrank   [A.eRank.toNat  = Module.finrank x0 x1 then Module.finrank x0 x1 = rank x2]	unreached	
composed	A.image	A.image ~> .map₂   via range   [A.image x0 = range x1 then range x0 = .map₂ x1 x2 x3]	unreached	
composed	A.image	A.image ~> .span   via range   [A.image x0 = range x1 then range x0 = .span x1 x2]	unreached	
composed	A.image	A.image ~> I.target   via range   [A.image x0 = range x1 then range x0 = I.target ]	unreached	
composed	A.image	A.image ~> Icc   via range   [A.image x0 = range x1 then range x0 = Icc x1 x2]	unreached	
composed	A.image	A.image ~> Ici   via range   [A.image x0 = range x1 then range x0 = Ici x1]	unreached	
composed	A.image	A.image ~> Ico   via range   [A.image x0 = range x1 then range  = Ico x0]	unreached	
composed	A.image	A.image ~> Iic   via range   [A.image x0 = range x1 then range x0 = Iic x1]	unreached	
composed	A.image	A.image ~> Iio   via range   [A.image x0 = range x1 then range x0 = Iio x1]	unreached	
composed	A.image	A.image ~> Ioi   via range   [A.image x0 = range x1 then range x0 = Ioi x1]	unreached	
composed	A.image	A.image ~> Ioo   via range   [A.image x0 = range x1 then range x0 = Ioo x1 x2]	unreached	
composed	A.image	A.image ~> K.map   via range   [A.image x0 = range x1 then range x0 = K.map x1]	unreached	
composed	A.image	A.image ~> S.pi   via range   [A.image x0 = range x1 then range x0 = S.pi x1]	unreached	
composed	A.image	A.image ~> Set.Ici   via range   [A.image x0 = range x1 then range x0 = Set.Ici x1]	unreached	
composed	A.image	A.image ~> Set.Iio   via range   [A.image x0 = range x1 then range x0 = Set.Iio x1]	unreached	
composed	A.image	A.image ~> Set.Ioi   via range   [A.image x0 = range x1 then range x0 = Set.Ioi x1]	unreached	
composed	A.image	A.image ~> Submodule.span   via range   [A.image x0 = range x1 then range x0 = Submodule.span x1 x2]	unreached	
composed	A.image	A.image ~> brange   via range   [A.image x0 = range x1 then range x0 = brange x1 x2]	unreached	
composed	A.image	A.image ~> closure   via range   [A.image x0 = range x1 then range x0 = closure x1]	unreached	
composed	A.image	A.image ~> comap   via range   [A.image x0 = range x1 then range x0 = comap x1 x2]	unreached	
composed	A.image	A.image ~> hs.extend   via range   [A.image x0 = range x1 then range x0 = hs.extend x1]	unreached	
composed	A.image	A.image ~> insert   via range   [A.image x0 = range x1 then range x0 = insert x1 x2]	unreached	
composed	A.image	A.image ~> ker   via range   [A.image x0 = range x1 then range x0 = ker x1]	unreached	
composed	A.image	A.image ~> map   via range   [A.image x0 = range x1 then range x0 = map x1 x2]	unreached	
composed	A.image	A.image ~> ofSection   via range   [A.image x0 = range x1 then range x0 = ofSection x1]	unreached	
composed	A.image	A.image ~> ofSimplex   via range   [A.image x0 = range x1 then range x0 = ofSimplex x1]	unreached	
composed	A.image	A.image ~> ofVectorSpaceIndex   via range   [A.image x0 = range x1 then range x0 = ofVectorSpaceIndex x1 x2]	unreached	
composed	A.image	A.image ~> pullbackDiagonal   via range   [A.image x0 = range x1 then range x0 = pullbackDiagonal x1]	unreached	
composed	A.image	A.image ~> univ   via range   [A.image x0 = range x1 then range x0 = univ ]	unreached	
composed	A.image	A.image ~> 𝒫   via range   [A.image x0 = range x1 then range x0 = 𝒫 x1 x2]	unreached	
composed	A.rank	A.rank ~> G.degree   via Fintype.card   [A.rank  = Fintype.card x0 then Fintype.card x0 = G.degree x1]	unreached	
composed	A.rank	A.rank ~> Module.finrank   via Fintype.card   [A.rank  = Fintype.card x0 then Fintype.card x0 = Module.finrank x1 x2]	unreached	
composed	A.rank	A.rank ~> Multiset.card   via Fintype.card   [A.rank  = Fintype.card x0 then Fintype.card x0 = Multiset.card x0]	unreached	
composed	A.rank	A.rank ~> Nat.card   via Fintype.card   [A.rank  = Fintype.card x0 then Fintype.card x0 = Nat.card x0]	unreached	
composed	A.rank	A.rank ~> Nat.choose   via Fintype.card   [A.rank  = Fintype.card x0 then Fintype.card x0 = Nat.choose x1 x2]	unreached	
composed	A.rank	A.rank ~> catalan   via Fintype.card   [A.rank  = Fintype.card x0 then Fintype.card x0 = catalan x1]	unreached	
composed	A.rank	A.rank ~> orderOf   via Fintype.card   [A.rank  = Fintype.card x0 then Fintype.card x0 = orderOf x1]	unreached	
composed	A.rank	A.rank ~> p.natDegree   via Fintype.card   [A.rank  = Fintype.card x0 then Fintype.card x0 = p.natDegree ]	unreached	
composed	A.rank	A.rank ~> s.encard   via Fintype.card   [A.rank  = Fintype.card x0 then Fintype.card x0 = s.encard ]	unreached	
composed	A.rank	A.rank ~> φ   via Fintype.card   [A.rank  = Fintype.card x0 then Fintype.card x0 x1 = φ x2]	unreached	
composed	A.rank	A.rank ~> Finset.card   via finrank   [A.rank  = finrank x0 x1 then finrank x0 x1 = Finset.card x2]	unreached	
composed	A.rank	A.rank ~> Module.rank   via finrank   [A.rank  = finrank x0 x1 then finrank x0 x1 = Module.rank x0 x1]	unreached	
composed	A.rank	A.rank ~> Nat.card   via finrank   [A.rank  = finrank x0 x1 then finrank x0 x1 = Nat.card x2]	unreached	
composed	A.rank	A.rank ~> Units.rank   via finrank   [A.rank  = finrank x0 x1 then finrank x0 x1 = Units.rank x2]	unreached	
composed	A.rank	A.rank ~> card   via finrank   [A.rank  = finrank x0 x1 then finrank x0 x1 = card x2]	unreached	
composed	A.rank	A.rank ~> if   via finrank   [A.rank  = finrank x0 x1 then finrank x0 x1 = if x2 x3 x4 x5 x6 x7]	unreached	
composed	A.rank	A.rank ~> n.totient   via finrank   [A.rank  = finrank x0 x1 then finrank x0 x1 = n.totient ]	unreached	
composed	A.rank	A.rank ~> natTrailingDegree   via finrank   [A.rank  = finrank x0 x1 then finrank x0 x1 = natTrailingDegree x2]	unreached	
composed	A.rank	A.rank ~> nrRealPlaces   via finrank   [A.rank  = finrank x0 x1 then finrank x0 x1 = nrRealPlaces x1]	unreached	
composed	A.rank	A.rank ~> relfinrank   via finrank   [A.rank  = finrank x0 x1 then finrank x0 x1 = relfinrank x2 x3]	unreached	
composed	A.rank	A.rank ~> s.card   via finrank   [A.rank  = finrank x0 x1 then finrank x0 x1 = s.card ]	unreached	
composed	A.rank	A.rank ~> s.toFinset.card   via finrank   [A.rank  = finrank x0 x1 then finrank x0 x1 = s.toFinset.card ]	unreached	
composed	A.rank	A.rank ~> φ.charpoly.rootMultiplicity   via finrank   [A.rank  = finrank x0 x1 then finrank x0 x1 = φ.charpoly.rootMultiplicity x2]	unreached	
composed	A.row	A.row ~> Pi.single   via of.symm   [A.row  = of.symm x0 then of.symm x0 = Pi.single x1 x2]	unreached	
composed	A.val.map	A.val.map ~> t   via smul   [A.val.map x0 x1 = smul x2 x3 x4 x5 then smul x0 x1 = t ]	unreached	
composed	A.val.map	A.val.map ~> G.map   via φ.app   [A.val.map x0 x1 = φ.app x2 x3 then φ.app x0 x1 = G.map x2 x3]	unreached	
composed	ACounit	ACounit ~> .id   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x0 = .id x1]	unreached	
composed	ACounit	ACounit ~> Algebra.intNorm   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = Algebra.intNorm x1 x3 x4]	unreached	
composed	ACounit	ACounit ~> Algebra.intTrace   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = Algebra.intTrace x1 x3 x4]	unreached	
composed	ACounit	ACounit ~> Algebra.norm   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = Algebra.norm x1 x3]	unreached	
composed	ACounit	ACounit ~> Algebra.trace   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = Algebra.trace x1 x3 x4]	unreached	
composed	ACounit	ACounit ~> B.form   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = B.form x3 x3]	unreached	
composed	ACounit	ACounit ~> C   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x0 x1 = C ]	unreached	
composed	ACounit	ACounit ~> CC   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x0 x1 x2 = CC x3]	unreached	
composed	ACounit	ACounit ~> DirectSum.of   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = DirectSum.of x3 x4 x5]	unreached	
composed	ACounit	ACounit ~> HahnSeries.C   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x0 x1 x2 = HahnSeries.C x2]	unreached	
composed	ACounit	ACounit ~> Ideal.Quotient.mk   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = Ideal.Quotient.mk x3 x4]	unreached	
composed	ACounit	ACounit ~> Int.castRingHom   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 = Int.castRingHom x1]	unreached	
composed	ACounit	ACounit ~> MvPolynomial.map   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 = MvPolynomial.map x2]	unreached	
composed	ACounit	ACounit ~> P.coxeterWeight   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = P.coxeterWeight x3 x4]	unreached	
composed	ACounit	ACounit ~> P.pairing   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = P.pairing x3 x4]	unreached	
composed	ACounit	ACounit ~> P.pairingIn   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = P.pairingIn x1 x3 x4]	unreached	
composed	ACounit	ACounit ~> P.toLinearMap   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = P.toLinearMap x3 x4]	unreached	
composed	ACounit	ACounit ~> PUnit.unit   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = PUnit.unit ]	unreached	
composed	ACounit	ACounit ~> Quotient.mk   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 = Quotient.mk x2]	unreached	
composed	ACounit	ACounit ~> RingHom.id   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x0 = RingHom.id x1]	unreached	
composed	ACounit	ACounit ~> Subfield.subtype   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 = Subfield.subtype x0]	unreached	
composed	ACounit	ACounit ~> T   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x0 x2 x3 = T x4]	unreached	
composed	ACounit	ACounit ~> ULift.up   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = ULift.up x3]	unreached	
composed	ACounit	ACounit ~> W.Δ   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 x3 = W.Δ ]	unreached	
composed	ACounit	ACounit ~> WithAbs.equiv   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = WithAbs.equiv x3 x4]	unreached	
composed	ACounit	ACounit ~> X   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 x3 = X ]	unreached	
composed	ACounit	ACounit ~> aeval   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = aeval x3 x4]	unreached	
composed	ACounit	ACounit ~> diagonal   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = diagonal x3]	unreached	
composed	ACounit	ACounit ~> exp   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = exp x3]	unreached	
composed	ACounit	ACounit ~> fromZeroRingHom   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 = fromZeroRingHom x2 x3]	unreached	
composed	ACounit	ACounit ~> h.map   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = h.map x3]	unreached	
composed	ACounit	ACounit ~> includeLeftRingHom.comp   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 = includeLeftRingHom.comp x2]	unreached	
composed	ACounit	ACounit ~> inl   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = inl x3]	unreached	
composed	ACounit	ACounit ~> inlRingHom   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 = inlRingHom x0 x2]	unreached	
composed	ACounit	ACounit ~> map   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 = map x1 x2 x3]	unreached	
composed	ACounit	ACounit ~> mapRangeRingHom   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 x1 = mapRangeRingHom x3 x4]	unreached	
composed	ACounit	ACounit ~> mapRingHom   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 x1 = mapRingHom x3]	unreached	
composed	ACounit	ACounit ~> mk   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x0 x1 = mk x2 x3]	unreached	
composed	ACounit	ACounit ~> normalizedTrace   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = normalizedTrace x1 x3 x4]	unreached	
composed	ACounit	ACounit ~> of   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 = of x2]	unreached	
composed	ACounit	ACounit ~> ofPowerSeries   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x0 x2 x3 = ofPowerSeries x4 x0 x3]	unreached	
composed	ACounit	ACounit ~> op   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = op x3]	unreached	
composed	ACounit	ACounit ~> p   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = p x3 x4]	unreached	
composed	ACounit	ACounit ~> residue   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 = residue x0]	unreached	
composed	ACounit	ACounit ~> star   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = star x3]	unreached	
composed	ACounit	ACounit ~> toLaurent   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x0 x2 x3 = toLaurent x3]	unreached	
composed	ACounit	ACounit ~> toOpen   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = toOpen x0 x3 x2]	unreached	
composed	ACounit	ACounit ~> toStalk   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = toStalk x0 x3 x2]	unreached	
composed	ACounit	ACounit ~> y.val   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = y.val ]	unreached	
composed	ACounit	ACounit ~> η   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = η x3 x2]	unreached	
composed	ACounit	ACounit ~> χ   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = χ x3]	unreached	
composed	ACounit	ACounit ~> ϕ   via algebraMap   [ACounit x0 x1 x2 = algebraMap x0 x1 x3 then algebraMap x0 x1 x2 = ϕ x3]	unreached	
composed	Action.Hom.hom	Action.Hom.hom ~> Action.ρ   via ModuleCat.ofHom   [Action.Hom.hom x0 = ModuleCat.ofHom x1 then ModuleCat.ofHom x0 = Action.ρ x1 x2]	unreached	
composed	AddEquiv.finsuppUnique.symm	AddEquiv.finsuppUnique.symm ~> Matrix.of   via single   [AddEquiv.finsuppUnique.symm x0 = single x1 x0 then single x0 x1 x2 = Matrix.of x3]	unreached	
composed	AddEquiv.finsuppUnique.symm	AddEquiv.finsuppUnique.symm ~> PEquiv.refl   via single   [AddEquiv.finsuppUnique.symm x0 = single x1 x0 then single x0 x1 = PEquiv.refl x2]	unreached	
composed	AddEquiv.finsuppUnique.symm	AddEquiv.finsuppUnique.symm ~> Pi.single   via single   [AddEquiv.finsuppUnique.symm x0 = single x1 x0 then single x0 x1 x2 x3 = Pi.single x2 x3]	unreached	
composed	AddEquiv.finsuppUnique.symm	AddEquiv.finsuppUnique.symm ~> indicator   via single   [AddEquiv.finsuppUnique.symm x0 = single x1 x0 then single x0 x1 = indicator x2 x3]	unreached	
composed	AddEquiv.finsuppUnique.symm	AddEquiv.finsuppUnique.symm ~> ite   via single   [AddEquiv.finsuppUnique.symm x0 = single x1 x0 then single x0 x1 x2 x3 = ite x4 x2 x5]	unreached	
composed	AddEquiv.finsuppUnique.symm	AddEquiv.finsuppUnique.symm ~> none   via single   [AddEquiv.finsuppUnique.symm x0 = single x1 x0 then single x0 x1 x2 = none ]	unreached	
composed	AddEquiv.finsuppUnique.symm	AddEquiv.finsuppUnique.symm ~> ofNat   via single   [AddEquiv.finsuppUnique.symm x0 = single x1 x0 then single x0 x1 = ofNat x2]	unreached	
composed	AddEquiv.finsuppUnique.symm	AddEquiv.finsuppUnique.symm ~> pi   via single   [AddEquiv.finsuppUnique.symm x0 = single x1 x0 then single x0 x1 x2 = pi x3]	unreached	
composed	AddEquiv.finsuppUnique.symm	AddEquiv.finsuppUnique.symm ~> some   via single   [AddEquiv.finsuppUnique.symm x0 = single x1 x0 then single x0 x1 x0 = some x1]	unreached	
composed	AddEquiv.finsuppUnique.symm	AddEquiv.finsuppUnique.symm ~> updateCol   via single   [AddEquiv.finsuppUnique.symm x0 = single x1 x0 then single x0 x1 x2 = updateCol x3 x1 x4]	unreached	
composed	AddEquiv.finsuppUnique.symm	AddEquiv.finsuppUnique.symm ~> updateRow   via single   [AddEquiv.finsuppUnique.symm x0 = single x1 x0 then single x0 x1 x2 = updateRow x3 x0 x4]	unreached	
composed	AddEquiv.finsuppUnique.symm	AddEquiv.finsuppUnique.symm ~> vecMulVec   via single   [AddEquiv.finsuppUnique.symm x0 = single x1 x0 then single x0 x1 x2 = vecMulVec x3 x4]	unreached	
composed	AddMonoid.exponent	AddMonoid.exponent ~> Nat.card   via exponent   [AddMonoid.exponent x0 = exponent x1 then exponent x0 = Nat.card x0]	unreached	
composed	AddMonoid.exponent	AddMonoid.exponent ~> lcm   via exponent   [AddMonoid.exponent x0 = exponent x1 then exponent x0 = lcm x1 x2]	unreached	
composed	AddMonoid.exponent	AddMonoid.exponent ~> sInf   via exponent   [AddMonoid.exponent x0 = exponent x1 then exponent x0 = sInf x1]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> .id   via map   [AlgHom.comp x0 x1 = map x2 then map x0 = .id ]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> AddMonoidHom.id   via map   [AlgHom.comp x0 x1 = map x2 then map x0 = AddMonoidHom.id x1]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> AdicCompletion.mk   via map   [AlgHom.comp x0 x1 = map x2 then map x0 x1 x2 = AdicCompletion.mk x0 x3 x4]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> AlgHom.id   via map   [AlgHom.comp x0 x1 = map x2 then map x0 = AlgHom.id x1 x2]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> AlgebraTensorModule.map   via map   [AlgHom.comp x0 x1 = map x2 then map x0 x1 = AlgebraTensorModule.map x2 x3]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> B.proj   via map   [AlgHom.comp x0 x1 = map x2 then map x0 x1 x2 = B.proj x3]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> C   via map   [AlgHom.comp x0 x1 = map x2 then map x0 x1 = C x2]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> Coalgebra.TensorProduct.map   via map   [AlgHom.comp x0 x1 = map x2 then map x0 x1 = Coalgebra.TensorProduct.map x2 x3]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> ContinuousMap.id   via map   [AlgHom.comp x0 x1 = map x2 then map x0 = ContinuousMap.id x1]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> ContinuousMonoidHom.comp   via map   [AlgHom.comp x0 x1 = map x2 then map x0 = ContinuousMonoidHom.comp x1 x2]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> F.map   via map   [AlgHom.comp x0 x1 = map x2 then map x0 x1 = F.map x1]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> Functor.id   via map   [AlgHom.comp x0 x1 = map x2 then map x0 = Functor.id x1]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> Ici   via map   [AlgHom.comp x0 x1 = map x2 then map x0 x1 = Ici x2]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> Iic   via map   [AlgHom.comp x0 x1 = map x2 then map x0 x1 = Iic x2]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> Iio   via map   [AlgHom.comp x0 x1 = map x2 then map x0 x1 = Iio x2]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> Ioi   via map   [AlgHom.comp x0 x1 = map x2 then map x0 x1 = Ioi x2]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> LinearMap.id   via map   [AlgHom.comp x0 x1 = map x2 then map x0 = LinearMap.id ]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> LocalizedModule.mk   via map   [AlgHom.comp x0 x1 = map x2 then map x0 x1 x2 = LocalizedModule.mk x3 x4]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> MonoidHom.id   via map   [AlgHom.comp x0 x1 = map x2 then map x0 = MonoidHom.id x1]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> OrderHom.id   via map   [AlgHom.comp x0 x1 = map x2 then map x0 = OrderHom.id ]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> OrderIso.refl   via map   [AlgHom.comp x0 x1 = map x2 then map x0 = OrderIso.refl x1]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> OuterMeasure.ofFunction   via map   [AlgHom.comp x0 x1 = map x2 then map x0 x1 = OuterMeasure.ofFunction x2 x3]	unreached	
composed	AlgHom.comp	AlgHom.comp ~> Perfection.map   via map   [AlgHom.comp x0 x1 = map x2 then map x0 x1 x2 x3 = Perfection.map x0 x3]	unreached	
