kind	head	detail	form	witness
transport	ModuleCat.ofHom	symmetry 0 substitution 0 arity 0	ModuleCat.ofHom x0 = Action.ρ x1 x2	
transport	Mon.Hom.hom	symmetry 0 substitution 0 arity 0	Mon.Hom.hom x0 = 𝟙 x1	
transport	Monoid.exponent	symmetry 0 substitution 4 arity 0	Monoid.exponent x0 = 2 	
transport	Monoid.exponent	symmetry 0 substitution 4 arity 0	Monoid.exponent x0 = Monoid.exponent x1	
transport	Monoid.exponent	symmetry 0 substitution 4 arity 0	Monoid.exponent x0 = Nat.card x0	
transport	Monoid.exponent	symmetry 0 substitution 4 arity 0	Monoid.exponent x0 = lcm x1 x2	
transport	Monoid.exponent	symmetry 0 substitution 4 arity 0	Monoid.exponent x0 = sInf x1	
transport	MonoidAlgebra.opRingEquiv	symmetry 0 substitution 0 arity 0	MonoidAlgebra.opRingEquiv x0 = single x1 x2	
transport	MonoidAlgebra.opRingEquiv.symm	symmetry 0 substitution 0 arity 0	MonoidAlgebra.opRingEquiv.symm x0 = op x1	
transport	MonoidHom.ker	symmetry 0 substitution 0 arity 0	MonoidHom.ker x0 = N 	
transport	MonoidHom.mk	symmetry 0 substitution 0 arity 0	MonoidHom.mk x0 x1 = f 	
transport	MonoidHom.mker	symmetry 0 substitution 0 arity 0	MonoidHom.mker x0 = unitary x1	
transport	MonoidHom.mrange	symmetry 0 substitution 2 arity 0	MonoidHom.mrange x0 = MonoidHom.mrange x1	
transport	MonoidHom.noncommPiCoprod	symmetry 0 substitution 0 arity 0	MonoidHom.noncommPiCoprod x0 x1 x2 = Finset.noncommProd x3 x4 x5	
transport	MonoidHom.range	symmetry 0 substitution 0 arity 0	MonoidHom.range x0 = Subgroup.closure x1	
transport	MonoidWithZero.inverse	symmetry 0 substitution 0 arity 0	MonoidWithZero.inverse x0 = Ring.inverse x0	
transport	MorphismProperty.injective	symmetry 0 substitution 0 arity 0	MorphismProperty.injective x0 = monomorphisms x0	
transport	MorphismProperty.surjective	symmetry 0 substitution 0 arity 0	MorphismProperty.surjective x0 = epimorphisms x0	
transport	MulAction.orbit	symmetry 0 substitution 0 arity 0	MulAction.orbit x0 x1 = B 	
transport	MulAction.orbit	symmetry 0 substitution 0 arity 0	MulAction.orbit x0 x1 = P.primesOver x2	
transport	MulAction.orbit	symmetry 0 substitution 0 arity 0	MulAction.orbit x0 x1 = s 	
transport	MulAction.period	symmetry 0 substitution 0 arity 0	MulAction.period x0 x1 = minimalPeriod x2 x1	
transport	MulAction.stabilizer	symmetry 0 substitution 1 arity 0	MulAction.stabilizer x0 x1 = H 	
transport	MulAction.stabilizer	symmetry 0 substitution 1 arity 0	MulAction.stabilizer x0 x1 = MulAction.stabilizer x0 x2	
transport	MulAction.stabilizerSubmonoid	symmetry 0 substitution 1 arity 0	MulAction.stabilizerSubmonoid x0 x1 = MulAction.stabilizerSubmonoid x0 x2	
transport	MulActionHom.id	symmetry 0 substitution 0 arity 0	MulActionHom.id x0 x1 = x 	
transport	MulActionHom.toQuotient	symmetry 0 substitution 0 arity 0	MulActionHom.toQuotient x0 x1 = g 	
transport	MulEquiv.refl	symmetry 0 substitution 0 arity 0	MulEquiv.refl x0 = equivQuotientZPowOfEquiv x1 x2	
transport	MulHom.mk	symmetry 0 substitution 0 arity 0	MulHom.mk x0 x1 = f 	
transport	MulOpposite.unop	symmetry 0 substitution 0 arity 0	MulOpposite.unop x0 = coweightEquiv x1 x1 x2	
transport	MulSemiringAction.toRingEquiv	symmetry 0 substitution 0 arity 0	MulSemiringAction.toRingEquiv x0 x1 x2 = σ 	
transport	MulSemiringActionHom.id	symmetry 0 substitution 0 arity 0	MulSemiringActionHom.id x0 x1 = x 	
transport	MultilinearMap.alternatization	symmetry 0 substitution 0 arity 0	MultilinearMap.alternatization x0 = a.alternatization.domCoprod x1	
transport	MultilinearMap.alternatization	symmetry 0 substitution 0 arity 0	MultilinearMap.alternatization x0 = g.compAlternatingMap x1	
transport	MultilinearMap.mkPiRing	symmetry 0 substitution 0 arity 0	MultilinearMap.mkPiRing x0 x1 x2 = 0 	
transport	MultilinearMap.mkPiRing	symmetry 0 substitution 0 arity 0	MultilinearMap.mkPiRing x0 x1 x2 = f 	
transport	Multiset.Pi.cons	symmetry 0 substitution 0 arity 0	Multiset.Pi.cons x0 x1 x2 x3 = cons x1 x1 x2 x3	
transport	Multiset.card	symmetry 0 substitution 0 arity 0	Multiset.card x0 = 1 	
transport	Multiset.card	symmetry 0 substitution 0 arity 0	Multiset.card x0 = Nat.choose x1 x2	
transport	Multiset.card	symmetry 0 substitution 0 arity 0	Multiset.card x0 = n 	
transport	Multiset.card	symmetry 0 substitution 0 arity 0	Multiset.card x0 = s.length 	
transport	Multiset.count	symmetry 0 substitution 3 arity 0	Multiset.count x0 x1 = Multiset.count x2 x3	
transport	Multiset.range	symmetry 0 substitution 0 arity 0	Multiset.range x0 = 0 	
transport	Multiset.sort	symmetry 0 substitution 0 arity 0	Multiset.sort x0 x1 = sort x2 x1	
transport	Multiset.toDFinsupp	symmetry 0 substitution 0 arity 0	Multiset.toDFinsupp x0 = f 	
transport	Multiset.toDFinsupp	symmetry 0 substitution 0 arity 0	Multiset.toDFinsupp x0 x1 = s.count x1	
transport	Multiset.toFinsupp	symmetry 0 substitution 0 arity 0	Multiset.toFinsupp x0 = f 	
transport	MvPolynomial.aeval	symmetry 0 substitution 0 arity 0	MvPolynomial.aeval x0 x1 = 0 	
transport	MvPolynomial.aeval	symmetry 0 substitution 0 arity 0	MvPolynomial.aeval x0 x1 = P.jacobian 	
transport	MvPolynomial.aeval	symmetry 0 substitution 0 arity 0	MvPolynomial.aeval x0 x1 = aeval x2 x3	
transport	MvPolynomial.aeval	symmetry 0 substitution 0 arity 0	MvPolynomial.aeval x0 x1 = p.aeval x2	
transport	MvPolynomial.aeval	symmetry 0 substitution 0 arity 0	MvPolynomial.aeval x0 x1 = q 	
transport	MvPolynomial.eval₂	symmetry 0 substitution 0 arity 0	MvPolynomial.eval₂ x0 x1 x2 = p.eval₂ x0 x3	
