kind	head	detail	form	witness
transport	dist	symmetry 0 substitution 9 arity 0	dist x0 x1 = dist x2 x3	
transport	dist	symmetry 0 substitution 9 arity 0	dist x0 x1 = r 	
transport	dist	symmetry 0 substitution 9 arity 0	dist x0 x1 = s.circumradius 	
transport	dist	symmetry 0 substitution 9 arity 0	dist x0 x1 = s.exradius x2	
transport	dist	symmetry 0 substitution 9 arity 0	dist x0 x1 = s.inradius 	
transport	dist	symmetry 0 substitution 9 arity 0	dist x0 x1 = s.radius 	
transport	dist	symmetry 0 substitution 9 arity 0	dist x0 x1 = t.circumradius 	
transport	dual	symmetry 0 substitution 3 arity 0	dual x0 x1 = 0 	
transport	dual	symmetry 0 substitution 3 arity 0	dual x0 x1 = dual x0 x2	
transport	dual	symmetry 0 substitution 3 arity 0	dual x0 x1 = sInf x2	
transport	e.hom.stalkMap	symmetry 0 substitution 0 arity 0	e.hom.stalkMap x0 x1 = X.presheaf.stalkSpecializes x2 x3	
transport	e.inv.stalkMap	symmetry 0 substitution 0 arity 0	e.inv.stalkMap x0 x1 = Y.presheaf.stalkSpecializes x2 x3	
transport	e.localFrame	symmetry 0 substitution 0 arity 0	e.localFrame x0 x1 x2 = 0 	
transport	e.localFrame	symmetry 0 substitution 0 arity 0	e.localFrame x0 x1 x2 = e.basisAt x0 x3 x1	
transport	e.symm.toDiffeomorph	symmetry 0 substitution 0 arity 0	e.symm.toDiffeomorph  = e.toDiffeomorph.symm 	
transport	evalAt	symmetry 0 substitution 0 arity 0	evalAt x0 x1 = 𝒅ₕ x2 x3	
transport	extChartAt	symmetry 0 substitution 0 arity 0	extChartAt x0 x1 x2 = I x2	
transport	extChartAt	symmetry 0 substitution 0 arity 0	extChartAt x0 x1 x2 = PartialEquiv.refl x3	
transport	extChartAt	symmetry 0 substitution 0 arity 0	extChartAt x0 x1 x2 x3 = y 	
transport	f	symmetry 0 substitution 1 arity 0	f  = g 	
transport	f	symmetry 0 substitution 1 arity 0	f  = ᶠ x0 x1	
transport	f	symmetry 0 substitution 1 arity 0	f x0 = 1 	
transport	f	symmetry 0 substitution 1 arity 0	f x0 = f x1	
transport	f	symmetry 0 substitution 1 arity 0	f x0 = y 	
transport	f.comp	symmetry 0 substitution 0 arity 0	f.comp x0 x1 = f x2	
transport	f.stalkMap	symmetry 0 substitution 0 arity 0	f.stalkMap x0 x1 = X.presheaf.germ x2 x0 x3 x4	
transport	finrank	symmetry 0 substitution 0 arity 0	finrank x0 x1 x2 = 1 	
transport	fs	symmetry 0 substitution 0 arity 0	fs x0 = ᶠ x1 x2	
transport	fs	symmetry 0 substitution 0 arity 0	fs x0 x1 = 1 	
transport	fs.toSmoothPartitionOfUnity	symmetry 0 substitution 0 arity 0	fs.toSmoothPartitionOfUnity x0 x1 = 0 	
transport	h	symmetry 0 substitution 0 arity 0	h x0 = x 	
transport	h.symm	symmetry 0 substitution 0 arity 0	h.symm x0 = x 	
transport	h.symm.toEquiv	symmetry 0 substitution 0 arity 0	h.symm.toEquiv  = h.toEquiv.symm 	
transport	h.symm.toHomeomorph	symmetry 0 substitution 0 arity 0	h.symm.toHomeomorph  = h.toHomeomorph.symm 	
transport	h.symm.trans	symmetry 0 substitution 0 arity 0	h.symm.trans x0 = Diffeomorph.refl x1 x2 x3	
transport	h.toHomeomorph.toEquiv	symmetry 0 substitution 0 arity 0	h.toHomeomorph.toEquiv  = h.toEquiv 	
transport	h.trans	symmetry 0 substitution 0 arity 0	h.trans x0 = Diffeomorph.refl x1 x2 x3	
transport	h.trans	symmetry 0 substitution 0 arity 0	h.trans x0 = h 	
transport	hf.image.1	symmetry 0 substitution 0 arity 0	hf.image.1  = range x0	
transport	hf.mfderivToContinuousLinearEquiv	symmetry 0 substitution 0 arity 0	hf.mfderivToContinuousLinearEquiv x0 = mfderiv x1 x2 x3 x4	
transport	hf.mfderivToContinuousLinearEquiv	symmetry 0 substitution 0 arity 0	hf.mfderivToContinuousLinearEquiv x0 x1 = mfderiv x2 x3 x4 x1	
transport	hs.coeff	symmetry 0 substitution 0 arity 0	hs.coeff x0 x1 x2 = 0 	
transport	hs.toCone	symmetry 0 substitution 0 arity 0	hs.toCone x0 = sInf x1	
transport	inversion	symmetry 0 substitution 0 arity 0	inversion x0 x1 x0 = c 	
transport	inversion	symmetry 0 substitution 0 arity 0	inversion x0 x1 x2 = c 	
transport	inversion	symmetry 0 substitution 0 arity 0	inversion x0 x1 x2 = homothety x0 x3 x4	
transport	inversion	symmetry 0 substitution 0 arity 0	inversion x0 x1 x2 = lineMap x0 x2 x3	
transport	inversion	symmetry 0 substitution 0 arity 0	inversion x0 x1 x2 = x 	
transport	l	symmetry 0 substitution 0 arity 0	l  = lift x0 x1 x2	
transport	line	symmetry 0 substitution 0 arity 0	line x0 = s.altitude x1	
transport	line	symmetry 0 substitution 0 arity 0	line x0 = t.insphere.orthRadius x1	
transport	map	symmetry 0 substitution 0 arity 0	map x0 x1 = 𝓝 x2	
transport	map	symmetry 0 substitution 0 arity 0	map x0 x1 = 𝓝 x2 x0 x3	
transport	map	symmetry 0 substitution 0 arity 0	map x0 x1 = 𝓝 x2 x3	
transport	map	symmetry 0 substitution 0 arity 0	map x0 x1 = 𝓝 x2 x3 x4 x5	
transport	map	symmetry 0 substitution 0 arity 0	map x0 x1 = 𝓝 x2 x3 x4 x5 x5	
transport	map	symmetry 0 substitution 0 arity 0	map x0 x1 = 𝓝 x2 x3 x4 x5 x6	
transport	map	symmetry 0 substitution 0 arity 0	map x0 x1 x2 = 𝓝 x3	
transport	map	symmetry 0 substitution 0 arity 0	map x0 x1 x2 = 𝓝 x3 x4	
transport	mfderiv	symmetry 0 substitution 0 arity 0	mfderiv x0 x0 x1 x2 = ContinuousLinearMap.id x3 x4	
transport	mfderiv	symmetry 0 substitution 0 arity 0	mfderiv x0 x0 x1 x2 = tangentCoordChange x0 x2 x3 x2	
transport	mfderiv	symmetry 0 substitution 0 arity 0	mfderiv x0 x1 x0 x2 x3 x4 = f 	
transport	mfderiv	symmetry 0 substitution 0 arity 0	mfderiv x0 x1 x0 x2 x3 x4 = fderiv x5 x3 x4	
transport	mfderiv	symmetry 0 substitution 0 arity 0	mfderiv x0 x1 x2 x3 = ContinuousLinearMap.fst x4 x5 x6	
transport	mfderiv	symmetry 0 substitution 0 arity 0	mfderiv x0 x1 x2 x3 = ContinuousLinearMap.inl x4 x5 x6	
transport	mfderiv	symmetry 0 substitution 0 arity 0	mfderiv x0 x1 x2 x3 x4 x5 = 1 	
transport	mfderivWithin	symmetry 0 substitution 0 arity 0	mfderivWithin x0 x0 x1 x2 x3 = ContinuousLinearMap.id x4 x5	
transport	mfderivWithin	symmetry 0 substitution 0 arity 0	mfderivWithin x0 x1 x0 x2 x3 x4 x5 = f 	
transport	mfderivWithin	symmetry 0 substitution 0 arity 0	mfderivWithin x0 x1 x0 x2 x3 x4 x5 = fderivWithin x6 x3 x4 x5	
transport	mfderivWithin	symmetry 0 substitution 0 arity 0	mfderivWithin x0 x1 x2 x3 x4 = ContinuousLinearMap.fst x5 x6 x7	
transport	mfderivWithin	symmetry 0 substitution 0 arity 0	mfderivWithin x0 x1 x2 x3 x4 x5 x6 = 1 	
transport	mfderivWithin	symmetry 0 substitution 0 arity 0	mfderivWithin x0 x1 x2 x3 x4 x5 x6 = mfderiv x7 x2 x8 x5 x6	
transport	mlieBracket	symmetry 0 substitution 1 arity 0	mlieBracket x0 x1 x1 = 0 	
transport	mlieBracket	symmetry 0 substitution 1 arity 0	mlieBracket x0 x1 x2 = 0 	
transport	mlieBracket	symmetry 0 substitution 1 arity 0	mlieBracket x0 x1 x2 = ᶠ x3 x4 x0 x5 x6	
transport	mlieBracket	symmetry 0 substitution 1 arity 0	mlieBracket x0 x1 x2 x3 = mlieBracket x0 x4 x5 x3	
transport	mlieBracketWithin	symmetry 0 substitution 4 arity 0	mlieBracketWithin x0 x1 x1 = 0 	
transport	mlieBracketWithin	symmetry 0 substitution 4 arity 0	mlieBracketWithin x0 x1 x2 x3 = 0 	
transport	mlieBracketWithin	symmetry 0 substitution 4 arity 0	mlieBracketWithin x0 x1 x2 x3 = mlieBracket x0 x1 x2	
transport	mlieBracketWithin	symmetry 0 substitution 4 arity 0	mlieBracketWithin x0 x1 x2 x3 = ᶠ x4 x5 x0 x1 x2 x6	
transport	mlieBracketWithin	symmetry 0 substitution 4 arity 0	mlieBracketWithin x0 x1 x2 x3 = ᶠ x4 x5 x0 x6 x7 x3	
transport	mlieBracketWithin	symmetry 0 substitution 4 arity 0	mlieBracketWithin x0 x1 x2 x3 x4 = 0 	
transport	mlieBracketWithin	symmetry 0 substitution 4 arity 0	mlieBracketWithin x0 x1 x2 x3 x4 = lieBracketWithin x5 x2 x3 x4	
transport	mlieBracketWithin	symmetry 0 substitution 4 arity 0	mlieBracketWithin x0 x1 x2 x3 x4 = mlieBracket x0 x1 x2 x4	
transport	mlieBracketWithin	symmetry 0 substitution 4 arity 0	mlieBracketWithin x0 x1 x2 x3 x4 = mlieBracketWithin x0 x1 x2 x5 x4	
transport	mlieBracketWithin	symmetry 0 substitution 4 arity 0	mlieBracketWithin x0 x1 x2 x3 x4 = mlieBracketWithin x0 x5 x6 x3 x4	
transport	mlieBracketWithin	symmetry 0 substitution 4 arity 0	mlieBracketWithin x0 x1 x2 x3 x4 = mlieBracketWithin x0 x5 x6 x7 x4	
transport	mpullback	symmetry 0 substitution 0 arity 0	mpullback x0 x0 x1 x2 = V 	
transport	mpullback	symmetry 0 substitution 0 arity 0	mpullback x0 x0 x1 x2 = mulInvariantVectorField x3	
transport	mpullback	symmetry 0 substitution 0 arity 0	mpullback x0 x1 x0 x2 x3 x4 = pullback x5 x3 x4	
transport	mpullbackWithin	symmetry 0 substitution 0 arity 0	mpullbackWithin x0 x0 x1 x2 x3 x4 = V x4	
transport	mpullbackWithin	symmetry 0 substitution 0 arity 0	mpullbackWithin x0 x1 x0 x2 x3 x4 x5 = pullbackWithin x6 x3 x4 x5	
transport	mulInvariantVectorField	symmetry 0 substitution 0 arity 0	mulInvariantVectorField x0 = mlieBracket x1 x2 x3	
transport	mulInvariantVectorField	symmetry 0 substitution 0 arity 0	mulInvariantVectorField x0 x1 = mpullback x2 x2 x3 x4 x1	
transport	nndist	symmetry 0 substitution 0 arity 0	nndist x0 x1 = Metric.infNndist x0 x2	
transport	nonunits	symmetry 0 substitution 0 arity 0	nonunits x0 = RingHom.ker x1	
transport	o.oangle	symmetry 0 substitution 9 arity 0	o.oangle x0 x0 = 0 	
transport	o.oangle	symmetry 0 substitution 9 arity 0	o.oangle x0 x1 = 0 	
transport	o.oangle	symmetry 0 substitution 9 arity 0	o.oangle x0 x1 = Complex.arg x2	
transport	o.oangle	symmetry 0 substitution 9 arity 0	o.oangle x0 x1 = InnerProductGeometry.angle x0 x1	
transport	o.oangle	symmetry 0 substitution 9 arity 0	o.oangle x0 x1 = Real.arccos x2	
transport	o.oangle	symmetry 0 substitution 9 arity 0	o.oangle x0 x1 = Real.arcsin x2	
transport	o.oangle	symmetry 0 substitution 9 arity 0	o.oangle x0 x1 = Real.arctan x2	
transport	o.oangle	symmetry 0 substitution 9 arity 0	o.oangle x0 x1 = o.oangle x0 x2	
transport	o.oangle	symmetry 0 substitution 9 arity 0	o.oangle x0 x1 = o.oangle x2 x1	
transport	o.oangle	symmetry 0 substitution 9 arity 0	o.oangle x0 x1 = o.oangle x2 x3	
transport	o.oangle	symmetry 0 substitution 9 arity 0	o.oangle x0 x1 = θ 	
transport	o.oangle	symmetry 0 substitution 9 arity 0	o.oangle x0 x1 = π 	
transport	o.rotation	symmetry 0 substitution 1 arity 0	o.rotation x0 = J 	
transport	o.rotation	symmetry 0 substitution 1 arity 0	o.rotation x0 = LinearIsometryEquiv.neg x1	
transport	o.rotation	symmetry 0 substitution 1 arity 0	o.rotation x0 = LinearIsometryEquiv.refl x1 x2	
transport	o.rotation	symmetry 0 substitution 1 arity 0	o.rotation x0 x1 = o.rotation x2 x3	
transport	orthocenter	symmetry 0 substitution 0 arity 0	orthocenter x0 = t.orthocenter 	
transport	orthogonalProjection	symmetry 0 substitution 2 arity 0	orthogonalProjection x0 x1 = f x2	
transport	orthogonalProjection	symmetry 0 substitution 2 arity 0	orthogonalProjection x0 x1 = orthogonalProjection x0 x2	
transport	orthogonalProjection	symmetry 0 substitution 2 arity 0	orthogonalProjection x0 x1 = p 	
transport	orthogonalProjection	symmetry 0 substitution 2 arity 0	orthogonalProjection x0 x1 = p₁ 	
transport	p	symmetry 0 substitution 0 arity 0	p  = orthogonalProjection x0 x1	
transport	p	symmetry 0 substitution 0 arity 0	p  = q 	
transport	p	symmetry 0 substitution 0 arity 0	p  = s.circumcenter 	
transport	p	symmetry 0 substitution 0 arity 0	p  = s.mongePoint 	
transport	p	symmetry 0 substitution 0 arity 0	p  = s.touchpoint x0 x1	
transport	p	symmetry 0 substitution 0 arity 0	p  = t.orthocenter 	
transport	pathELength	symmetry 0 substitution 2 arity 0	pathELength x0 x1 x2 x2 = 0 	
transport	pathELength	symmetry 0 substitution 2 arity 0	pathELength x0 x1 x2 x3 = pathELength x0 x4 x5 x6	
transport	perpBisector	symmetry 1 substitution 0 arity 0	perpBisector x0 x1 = perpBisector x1 x0	
transport	p₁	symmetry 0 substitution 0 arity 0	p₁  = p₂ 	
transport	p₂	symmetry 0 substitution 0 arity 0	p₂  = p₃ 	
transport	q	symmetry 0 substitution 0 arity 0	q  = p 	
transport	r	symmetry 0 substitution 0 arity 0	r  = s.circumradius 	
transport	range	symmetry 0 substitution 0 arity 0	range x0 = I.target 	
transport	range	symmetry 0 substitution 0 arity 0	range x0 = closure x1	
transport	range	symmetry 0 substitution 0 arity 0	range x0 = univ 	
transport	reflection	symmetry 0 substitution 0 arity 0	reflection x0 x1 = f x2	
transport	reflection	symmetry 0 substitution 0 arity 0	reflection x0 x1 = p 	
transport	residueFieldMap	symmetry 0 substitution 0 arity 0	residueFieldMap x0 x1 = 𝟙 x2	
transport	residueFieldMap	symmetry 0 substitution 0 arity 0	residueFieldMap x0 x1 x2 = X.evaluation x3 x4	
transport	residueFieldMap	symmetry 0 substitution 0 arity 0	residueFieldMap x0 x1 x2 = X.Γevaluation x1 x3	
transport	riemannianEDist	symmetry 1 substitution 0 arity 0	riemannianEDist x0 x1 x1 = 0 	
