law=every generated path is deposited; this records which of them the kernel admitted
columns=outcome ordinal source_sha256 artifact
refused  18 f43748fbe9442cb6494e96d93bd5908e8f9c8de95ef8617a802190cdf4419eff carrier-transport-relayed-00018.lean
refused  19 c1dac83aa3f32dcc9e88276b6d1462ea8e33ddece631141d877e344c849b3446 carrier-transport-relayed-00019.lean
refused  20 0d00833f0b94d55652fabb7cdf6691f9d088e5bdae6b9a0e5bb14d320b886791 carrier-transport-relayed-00020.lean
admitted 21 7f67bcef13824f7bcba9f54b7450501e4c18db9ec9c2b208373ed3b4fa93d6b5 carrier-transport-relayed-00021.lean
admitted 22 bb3f71a1159010affb4ea494d4314fa028b560800d3cab8ab6f672696c88afdc carrier-transport-relayed-00022.lean
refused  23 04be4b67786b4f0d1bf4078591413bb659e3ff9e1feed95550dc9d2078e0ddbd carrier-transport-relayed-00023.lean
refused  24 93b3a3d9e107e8fbaaa7cb80240716aeae859ca9dea3a77a7a960270ea9bae65 carrier-transport-relayed-00024.lean
refused  25 633616a507f8c54ea43333088c4c628a2fa222a1ebd8d3490b28f842c78d654d carrier-transport-relayed-00025.lean
refused  26 de543ddc26abcd3958c76de1579ad22f77b865c49dd6bd13da0042a9c1f92eca carrier-transport-relayed-00026.lean
refused  27 d6c7d3eef330c41dbd0ec2d7ad29bffb0543ee858d489ed3871c8590f906df0c carrier-transport-relayed-00027.lean
refused  28 b0bdf4530bdb4dc1020549195e3a37d08c87a3970bedae4f608a99533ad7ef4c carrier-transport-relayed-00028.lean
