case	moduli	gcd	lcm	characteristic_factor	minimal_factor	shape_types	tour	formal_shape_monomial	fold	exact
9	6,9	3	18	(X^18-1)^3	X^18-1	27	1	s1^2*s4^2*s7^2*s11^2*s14^2*s17^2*s18^2*s21^2*s24^2	6716909982016979189	1
9	6,9	3	18	(X^18-1)^3	X^18-1	27	2	s2^2*s5^2*s8^2*s9^2*s12^2*s15^2*s19^2*s22^2*s25^2	9452989374130544917	1
10	8,12	4	24	(X^24-1)^4	X^24-1	6	0	s0^4*s1^4*s2^4*s3^4*s4^4*s5^4	4248197056924058741	1
10	8,12	4	24	(X^24-1)^4	X^24-1	6	1	s0^4*s1^4*s2^4*s3^4*s4^4*s5^4	4248197056924058741	1
10	8,12	4	24	(X^24-1)^4	X^24-1	6	2	s0^4*s1^4*s2^4*s3^4*s4^4*s5^4	4248197056924058741	1
10	8,12	4	24	(X^24-1)^4	X^24-1	6	3	s0^4*s1^4*s2^4*s3^4*s4^4*s5^4	4248197056924058741	1
11	7,11	1	77	(X^77-1)^1	X^77-1	77	0	s0^1*s1^1*s2^1*s3^1*s4^1*s5^1*s6^1*s7^1*s8^1*s9^1*s10^1*s11^1*s12^1*s13^1*s14^1*s15^1*s16^1*s17^1*s18^1*s19^1*s20^1*s21^1*s22^1*s23^1*s24^1*s25^1*s26^1*s27^1*s28^1*s29^1*s30^1*s31^1*s32^1*s33^1*s34^1*s35^1*s36^1*s37^1*s38^1*s39^1*s40^1*s41^1*s42^1*s43^1*s44^1*s45^1*s46^1*s47^1*s48^1*s49^1*s50^1*s51^1*s52^1*s53^1*s54^1*s55^1*s56^1*s57^1*s58^1*s59^1*s60^1*s61^1*s62^1*s63^1*s64^1*s65^1*s66^1*s67^1*s68^1*s69^1*s70^1*s71^1*s72^1*s73^1*s74^1*s75^1*s76^1	11514530989483385216	1
12	7,11	1	77	(X^77-1)^1	X^77-1	77	0	s0^1*s1^1*s2^1*s3^1*s4^1*s5^1*s6^1*s7^1*s8^1*s9^1*s10^1*s11^1*s12^1*s13^1*s14^1*s15^1*s16^1*s17^1*s18^1*s19^1*s20^1*s21^1*s22^1*s23^1*s24^1*s25^1*s26^1*s27^1*s28^1*s29^1*s30^1*s31^1*s32^1*s33^1*s34^1*s35^1*s36^1*s37^1*s38^1*s39^1*s40^1*s41^1*s42^1*s43^1*s44^1*s45^1*s46^1*s47^1*s48^1*s49^1*s50^1*s51^1*s52^1*s53^1*s54^1*s55^1*s56^1*s57^1*s58^1*s59^1*s60^1*s61^1*s62^1*s63^1*s64^1*s65^1*s66^1*s67^1*s68^1*s69^1*s70^1*s71^1*s72^1*s73^1*s74^1*s75^1*s76^1	11514530989483385216	1
13	7,11	1	77	(X^77-1)^1	X^77-1	77	0	s0^1*s1^1*s2^1*s3^1*s4^1*s5^1*s6^1*s7^1*s8^1*s9^1*s10^1*s11^1*s12^1*s13^1*s14^1*s15^1*s16^1*s17^1*s18^1*s19^1*s20^1*s21^1*s22^1*s23^1*s24^1*s25^1*s26^1*s27^1*s28^1*s29^1*s30^1*s31^1*s32^1*s33^1*s34^1*s35^1*s36^1*s37^1*s38^1*s39^1*s40^1*s41^1*s42^1*s43^1*s44^1*s45^1*s46^1*s47^1*s48^1*s49^1*s50^1*s51^1*s52^1*s53^1*s54^1*s55^1*s56^1*s57^1*s58^1*s59^1*s60^1*s61^1*s62^1*s63^1*s64^1*s65^1*s66^1*s67^1*s68^1*s69^1*s70^1*s71^1*s72^1*s73^1*s74^1*s75^1*s76^1	11514530989483385216	1
14	11,7	1	77	(X^77-1)^1	X^77-1	77	0	s0^1*s1^1*s2^1*s3^1*s4^1*s5^1*s6^1*s7^1*s8^1*s9^1*s10^1*s11^1*s12^1*s13^1*s14^1*s15^1*s16^1*s17^1*s18^1*s19^1*s20^1*s21^1*s22^1*s23^1*s24^1*s25^1*s26^1*s27^1*s28^1*s29^1*s30^1*s31^1*s32^1*s33^1*s34^1*s35^1*s36^1*s37^1*s38^1*s39^1*s40^1*s41^1*s42^1*s43^1*s44^1*s45^1*s46^1*s47^1*s48^1*s49^1*s50^1*s51^1*s52^1*s53^1*s54^1*s55^1*s56^1*s57^1*s58^1*s59^1*s60^1*s61^1*s62^1*s63^1*s64^1*s65^1*s66^1*s67^1*s68^1*s69^1*s70^1*s71^1*s72^1*s73^1*s74^1*s75^1*s76^1	11514530989483385216	1
15	9,10	1	90	(X^90-1)^1	X^90-1	45	0	s0^2*s1^2*s2^2*s3^2*s4^2*s5^2*s6^2*s7^2*s8^2*s9^2*s10^2*s11^2*s12^2*s13^2*s14^2*s15^2*s16^2*s17^2*s18^2*s19^2*s20^2*s21^2*s22^2*s23^2*s24^2*s25^2*s26^2*s27^2*s28^2*s29^2*s30^2*s31^2*s32^2*s33^2*s34^2*s35^2*s36^2*s37^2*s38^2*s39^2*s40^2*s41^2*s42^2*s43^2*s44^2	10169556500580035653	1
