kind	owner	coordinate	transport	admitted	identity	lineage	obstruction	exact
cell	1	16:mass=1,witness=-12	Q=0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0	1	189411	18188768124986772095	0	1
cell	1	17:mass=3,witness=4	Q=0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0	1	189411	18188768124986772095	0	1
cell	1	18:mass=3,witness=4	Q=0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1	1	189411	18188768124986772095	0	1
cell	1	19:mass=1,witness=-12	Q=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0	1	189411	18188768124986772095	0	1
candidate	1	shell_collapse	access=0,recurrence=1,contact=0,order=1,separable=1	0	189501	18188768124986772096	-	-
candidate	1	unit_grid	access=1,recurrence=0,contact=0,order=1,separable=1	0	189511	18188768124986772097	-	-
candidate	1	lineage_transpose	access=1,recurrence=0,contact=0,order=0,separable=1	0	189521	18188768124986772098	-	-
candidate	1	incidence_product	access=1,recurrence=1,contact=1,order=1,separable=1	1	189531	18188768124986772099	-	-
pair	2	distance=7,shape=8x1	characteristic_roots=7,5,3,1,-1,-3,-5,-7,multiplicity=1,1,1,1,1,1,1,1,witness_eigenvalue=5	1	189412	18188768124986772193	0	1
cell	2	0:mass=1,witness=7	Q=0,7,0,0,0,0,0,0	1	189412	18188768124986772193	0	1
cell	2	1:mass=7,witness=5	Q=1,0,6,0,0,0,0,0	1	189412	18188768124986772193	0	1
cell	2	2:mass=21,witness=3	Q=0,2,0,5,0,0,0,0	1	189412	18188768124986772193	0	1
cell	2	3:mass=35,witness=1	Q=0,0,3,0,4,0,0,0	1	189412	18188768124986772193	0	1
cell	2	4:mass=35,witness=-1	Q=0,0,0,4,0,3,0,0	1	189412	18188768124986772193	0	1
cell	2	5:mass=21,witness=-3	Q=0,0,0,0,5,0,2,0	1	189412	18188768124986772193	0	1
cell	2	6:mass=7,witness=-5	Q=0,0,0,0,0,6,0,1	1	189412	18188768124986772193	0	1
cell	2	7:mass=1,witness=-7	Q=0,0,0,0,0,0,7,0	1	189412	18188768124986772193	0	1
candidate	2	shell_collapse	access=1,recurrence=1,contact=1,order=1,separable=1	1	189502	18188768124986772194	-	-
candidate	2	unit_grid	access=1,recurrence=0,contact=0,order=1,separable=1	0	189512	18188768124986772195	-	-
candidate	2	lineage_transpose	access=1,recurrence=0,contact=0,order=0,separable=1	0	189522	18188768124986772196	-	-
candidate	2	incidence_product	access=1,recurrence=1,contact=1,order=1,separable=1	1	189532	18188768124986772197	-	-
moment	0	degree=3	H0=3,7,21;7,21,73;21,73,273,H1=7,21,73;21,73,273;73,273,1057,pencil=-288,504,-252,36,newton=-8,14,-7,1,roots=1,2,4,det=36,disc=36	1	189450	399551	0	1
candidate	10	hankel	access=1,recurrence=1,contact=1,order=1,separable=1	1	189604	399705	-	-
candidate	10	toeplitz	access=1,recurrence=0,contact=0,order=0,separable=1	0	189605	399706	-	-
candidate	10	reversed_hankel	access=1,recurrence=1,contact=1,order=0,separable=1	0	189606	399707	-	-
candidate	10	collapsed_degree	access=1,recurrence=0,contact=0,order=0,separable=1	0	189607	399708	-	-
moment	1	degree=3	H0=3,2,14;2,14,20;14,20,98,H1=2,14,20;14,20,98;20,98,212,pencil=5400,-4500,-1800,900,newton=6,-5,-2,1,roots=-2,1,3,det=900,disc=900	1	189451	399553	0	1
candidate	11	hankel	access=1,recurrence=1,contact=1,order=1,separable=1	1	189614	399716	-	-
candidate	11	toeplitz	access=1,recurrence=0,contact=0,order=0,separable=1	0	189615	399717	-	-
candidate	11	reversed_hankel	access=1,recurrence=1,contact=1,order=0,separable=1	0	189616	399718	-	-
candidate	11	collapsed_degree	access=1,recurrence=0,contact=0,order=0,separable=1	0	189617	399719	-	-
moment	2	degree=4	H0=4,14,78,476;14,78,476,3042;78,476,3042,19964;476,3042,19964,133338,H1=14,78,476,3042;78,476,3042,19964;476,3042,19964,133338;3042,19964,133338,901796,pencil=0,-308700000,260190000,-61740000,4410000,newton=0,-70,59,-14,1,roots=0,2,5,7,det=4410000,disc=4410000	1	189452	399555	0	1
candidate	12	hankel	access=1,recurrence=1,contact=1,order=1,separable=1	1	189624	399727	-	-
candidate	12	toeplitz	access=1,recurrence=0,contact=0,order=0,separable=1	0	189625	399728	-	-
candidate	12	reversed_hankel	access=1,recurrence=1,contact=1,order=0,separable=1	0	189626	399729	-	-
candidate	12	collapsed_degree	access=1,recurrence=0,contact=0,order=0,separable=1	0	189627	399730	-	-
moment	3	degree=3	H0=3,6,18;6,18,66;18,66,258,H1=6,18,66;18,66,258;66,258,1026,pencil=0,0,0,0,newton=-4,9,-6,1,roots=,det=0,disc=0	0	189453	399557	6	1
candidate	13	hankel	access=1,recurrence=0,contact=0,order=1,separable=0	0	189634	399738	-	-
candidate	13	toeplitz	access=1,recurrence=0,contact=0,order=0,separable=0	0	189635	399739	-	-
candidate	13	reversed_hankel	access=1,recurrence=0,contact=0,order=0,separable=0	0	189636	399740	-	-
candidate	13	collapsed_degree	access=1,recurrence=0,contact=0,order=0,separable=0	0	189637	399741	-	-
moment	4	degree=3	H0=0,0,0;0,0,0;0,0,0,H1=0,0,0;0,0,0;0,0,0,pencil=0,0,0,0,newton=0,0,0,0,roots=,det=0,disc=0	0	189454	399559	5	1
